month	平均成交价格	noise_avg_平均成交价格
2004-12	5.74	-100	
2005-01	5.44	-100	
2005-02	5.54	-91.3	
2005-03	5.86	-73.91	
2005-04	5.52	-91.3	
2005-05	4.77	-100	
2005-06	4.83	-91.3	
2005-07	4.26	-100	
2005-08	4.39	-91.3	
2005-09	4.45	-91.3	
2005-10	4.63	-73.91	
2005-11	4.29	-91.3	
2005-12	4.47	-73.91	
2006-01	4.78	-30.43	
2006-02	4.83	-4.35	
2006-03	4.8	4.35	
2006-04	5.17	39.13	
2006-05	5.69	39.13	
2006-06	5.63	47.83	
2006-07	5.81	65.22	
2006-08	5.39	47.83	
2006-09	5.47	56.52	
2006-10	5.5	56.52	
2006-11	5.94	82.61	
2006-12	6.39	82.61	
2007-01	7.4	91.3	
2007-02	7.9	100	
2007-03	8.71	100	
2007-04	11.12	100	
2007-05	13.62	100	
2007-06	13.41	91.3	
2007-07	12.89	91.3	
2007-08	15.13	100	
2007-09	16.07	100	
2007-10	18.04	100	
2007-11	17.1	91.3	
2007-12	16.1	73.91	
2008-01	17.59	91.3	
2008-02	16.78	73.91	
2008-03	15.29	39.13	
2008-04	13.66	4.35	
2008-05	13.92	-13.04	
2008-06	11.12	-39.13	
2008-07	10.5	-47.83	
2008-08	8.71	-56.52	
2008-09	7.6	-65.22	
2008-10	6.93	-82.61	
2008-11	6.32	-91.3	
2008-12	6.81	-82.61	
2009-01	7.3	-65.22	
2009-02	8.14	-56.52	
2009-03	8.73	-39.13	
2009-04	9.49	-4.35	
2009-05	9.82	21.74	
2009-06	10.37	30.43	
2009-07	11.46	39.13	
2009-08	11.62	47.83	
2009-09	11.28	47.83	
2009-10	11.69	47.83	
2009-11	11.9	73.91	
2009-12	12.55	82.61	
2010-01	13.02	91.3	
2010-02	12.34	73.91	
2010-03	12.77	82.61	
2010-04	13.68	91.3	
2010-05	12.21	73.91	
2010-06	11.92	30.43	
2010-07	10.48	-13.04	
2010-08	11.74	-17.39	
2010-09	12.81	21.74	
2010-10	13.44	39.13	
2010-11	14.42	69.57	
2010-12	19.07	100	
2011-01	13.4	73.91	
2011-02	13.94	82.61	
2011-03	13.85	47.83	
2011-04	12.71	21.74	
2011-05	12.09	-30.43	
2011-06	12.01	-56.52	
2011-07	12.83	-30.43	
2011-08	12.23	-56.52	
2011-09	11.38	-65.22	
2011-10	10.55	-65.22	
2011-11	11.4	-56.52	
2011-12	10.15	-91.3	
2012-01	9.55	-100	
2012-02	9.98	-91.3	
2012-03	10.78	-65.22	
2012-04	9.74	-91.3	
2012-05	10.47	-65.22	
2012-06	10.4	-47.83	
2012-07	10.23	-39.13	
2012-08	9.45	-91.3	
2012-09	9.02	-100	
2012-10	8.31	-100	
2012-11	8.06	-100	
2012-12	8.31	-91.3	
2013-01	9.28	-65.22	
2013-02	9.78	-30.43	
2013-03	9.63	-13.04	
2013-04	9.64	17.39	
2013-05	10.16	39.13	
2013-06	9.62	30.43	
2013-07	9.69	39.13	
2013-08	9.53	4.35	
2013-09	9.38	-8.7	
2013-10	9.92	21.74	
2013-11	9.9	39.13	
2013-12	10.05	73.91	
2014-01	10.72	82.61	
2014-02	10.74	82.61	
2014-03	9.7	39.13	
2014-04	9.44	13.04	
2014-05	9.53	0	
2014-06	9.94	-4.35	
2014-07	9.37	-56.52	
2014-08	9.62	-39.13	
